"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1990","1990",7285,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1991","1991",7413,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1992","1992",7525,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1993","1993",7596,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1994","1994",7672,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1995","1995",7852,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1996","1996",7992,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1997","1997",8095,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1998","1998",8240,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","1999","1999",8326,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2000","2000",7659,"B","Break"
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2001","2001",7680,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2002","2002",7685,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2003","2003",7680,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2004","2004",7712,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2005","2005",7694,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2006","2006",7748,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2007","2007",7677,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2008","2008",7663,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2009","2009",7655,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2010","2010",7675,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2011","2011",7777,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2012","2012",7869,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2013","2013",7965,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2014","2014",8108,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2015","2015",8291,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2005","2005",9360,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2006","2006",9518,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2007","2007",9601,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2008","2008",9665,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2009","2009",9496,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2010","2010",9672,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2011","2011",9874,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2012","2012",10100,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2013","2013",10060,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2014","2014",10448,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2015","2015",10726,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2016","2016",11066,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2005","2005",18178,"E","Estimated value"
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2007","2007",18672,"E","Estimated value"
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2009","2009",19334,"E","Estimated value"
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1980","1980",11095,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1981","1981",11484,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1982","1982",11880,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1983","1983",12271,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1984","1984",12624,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1985","1985",13027,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1986","1986",13164,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1987","1987",13503,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1988","1988",13742,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1989","1989",14177,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1990","1990",14341,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1991","1991",14514,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1992","1992",14897,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1995","1995",15589,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1996","1996",15807,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1997","1997",16234,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1998","1998",16486,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","1999","1999",16899,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2000","2000",17287,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2001","2001",17559,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2002","2002",17946,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2003","2003",18202,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2004","2004",18433,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2005","2005",18764,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2006","2006",19008,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2007","2007",19268,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2008","2008",19613,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2009","2009",19951,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2010","2010",20432,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2011","2011",20789,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2012","2012",21292,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2013","2013",21731,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2014","2014",22134,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2015","2015",22665,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2016","2016",23261,,
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","CAN","Canada","2005","2005",19546,"E","Estimated value"
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","CAN","Canada","2007","2007",19864,"E","Estimated value"
"DNSTLPDN","Dentists licensed to practice","PERSMYNB","Number of persons (head counts)","CAN","Canada","2009","2009",20568,"E","Estimated value"
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1980","1980",4743,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1981","1981",4993,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1982","1982",5149,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1983","1983",5291,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1984","1984",5381,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1985","1985",5406,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1986","1986",5379,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1987","1987",5423,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1988","1988",5483,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1989","1989",5589,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1990","1990",5626,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1991","1991",5654,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1992","1992",5665,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1993","1993",5890,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1994","1994",6137,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1995","1995",6247,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1996","1996",6271,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1997","1997",6467,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1998","1998",6386,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","1999","1999",6426,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2000","2000",6658,"B","Break"
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2001","2001",6698,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2002","2002",6697,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2003","2003",6737,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2004","2004",6843,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2005","2005",6906,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2006","2006",6933,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2007","2007",6948,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2008","2008",6974,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2009","2009",7092,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2010","2010",7263,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2011","2011",7429,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2012","2012",7461,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2013","2013",7426,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2014","2014",7906,"E; B","Estimated value; Break"
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2015","2015",8461,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","1992","1992",4373,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","1993","1993",4372,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","1994","1994",4449,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","1995","1995",4467,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","1996","1996",4505,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","1997","1997",4554,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","1998","1998",4629,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","1999","1999",4584,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2000","2000",4582,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2001","2001",4607,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2002","2002",4577,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2003","2003",4596,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2004","2004",4630,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2005","2005",4634,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2006","2006",4615,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2007","2007",4572,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2008","2008",4476,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2009","2009",4398,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2010","2010",4485,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2011","2011",4403,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2012","2012",4379,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2013","2013",4295,,
"DNSTDENT","Practising dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2014","2014",4244,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","1992","1992",4744,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","1993","1993",4751,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","1994","1994",4822,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","1995","1995",4834,,
"DNSTPADN","Professionally active dentists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","1996","1996",4856,,
